id,name,category,price,stock,date_added,description,brand
1,Purpose,Electronics,105.57,303,2024-02-24,Score each cause bill scientist nation.,"Henderson, Johnson and Robinson"
2,Mouth,Home & Kitchen,179.6,16,2023-12-22,Night respond red information last everything.,Blake and Sons
3,Save,Toys,232.04,124,2024-08-20,Everyone democratic shake bill here grow gas enough analysis least.,Dudley Group
4,Bar,Home & Kitchen,135.34,131,2023-10-20,Stop peace technology officer relate animal direction eye bag.,Delacruz Group
5,Fall,Toys,146.33,338,2024-08-08,Class great prove reduce raise author play move each left.,Mayo-Bowman
6,Onto,Clothing,357.3,34,2024-02-17,Successful simply director allow firm environment decision wall then fire.,"Porter, Wilkerson and Day"
7,Character,Books,377.32,178,2024-07-14,East no enjoy once today human despite.,Hicks Inc
8,Someone,Electronics,108.66,436,2024-04-18,Check civil quite others his other life.,Maddox-Valencia
9,Activity,Sports,9.51,304,2024-03-27,Race Mr environment political born itself law.,"Liu, Baker and Mason"
10,Could,Home & Kitchen,72.54,262,2024-02-17,That fear police participant check several much.,"Sellers, George and Burns"
11,Brother,Books,373.56,168,2024-04-23,Dream drive note bad rule staff within mouth call.,"Alvarez, Pierce and Baker"
12,Turn,Home & Kitchen,156.82,219,2024-07-29,Who up sense ready require human public health tonight later easy.,Morgan PLC
13,Once,Clothing,49.36,321,2024-06-26,Detail audience piece director town teacher audience draw protect Democrat car very number.,Sanchez-Kennedy
14,Investment,Clothing,387.43,237,2024-05-22,Best issue interest level rock pull worker.,Brown Ltd
15,Group,Beauty,260.06,299,2024-01-26,Eat couple large instead everything economic type.,Morton-Chase
16,Billion,Electronics,284.13,91,2024-02-08,Structure why unit support coach magazine degree husband around her world enter.,Mitchell-Horton
17,Side,Beauty,240.34,481,2024-07-28,Product main couple design around save article finish anyone live try most arm.,"Miller, Lopez and Larson"
18,Republican,Beauty,257.06,242,2023-10-14,Identify walk now often always bank price north first.,Harris-Moran
19,Edge,Books,446.54,11,2023-12-14,Capital population lead upon very act perform none beyond Mrs media.,Mahoney Inc
20,Until,Clothing,456.83,154,2024-08-13,Expect just myself few worker southern more property never use.,Mcmillan and Sons
21,Everything,Electronics,64.69,96,2023-11-05,Score choice example decision garden reach table.,"Freeman, Whitehead and Mathis"
22,Best,Sports,410.19,50,2024-02-17,Stop analysis four capital woman claim kind relationship night born war.,"Mckee, Gardner and Davenport"
23,Pass,Home & Kitchen,356.73,418,2023-11-14,Involve among half value win always group.,"Wright, Garcia and Deleon"
24,Usually,Beauty,104.55,265,2023-12-18,Wind see understand door class son computer include conference under site.,Pham-Shields
25,Talk,Clothing,312.26,246,2024-03-08,City red him although likely current truth glass star.,Walker Ltd
26,Data,Toys,363.68,376,2024-03-30,Everything attorney significant go meeting quickly such former agree theory.,White-Estes
27,Evidence,Electronics,130.33,415,2023-11-23,Others generation skill job worker break tonight.,Scott Ltd
28,Least,Electronics,279.39,23,2024-02-28,Understand Mrs rest score provide hair attorney professional form finish summer rest.,Hunter-Estrada
29,General,Toys,271.69,421,2024-06-28,Never court professor here security community notice image street.,Mitchell-Jordan
30,Particularly,Home & Kitchen,483.85,3,2024-05-08,Let kind degree list top somebody college be middle plan.,Davis-Crane
31,Easy,Sports,434.88,338,2023-12-30,Different current agency each little sure authority increase picture.,Higgins Group
